Time,Room #,Presentation Title,Presenter Name,Session #,Mentor,Mentor Department,Abstract
Feb. 24 08:30-8:50 a.m.,Room 137B,Fostering a Culture of Safety: Aviation Reporting System,Trenton McFarlane,1,John Anvik,Computer Science,"In the Aviation field, whether in study or in practice, creating an environment for effecient incident reporting is a very important task. The Aviation department at Central Washington University used a paper system for reporting incidents where students would need to fill out a piece of paper to report an incident and place it in a metal box in the Aviation Department office. This proved to be less than useful as many incidents were not being reported. Research showed there were many reasons this system was not used by students. Lack of privacy was the most common reason for incidents not being reported because students did not want to be seen filing a report; some students were worried about their flight instructors getting mad about incidents being reported. For these reasons, the Aviation department reached out to the Computer Science department for a new system. My team and I designed, developed, and delivered a quality and effecient system for reporting incidents with privacy. Using modern web technologies, we were able to accurately solve the Aviation departments problem and hopefully increase the number of reports being submitted."
Feb. 24 08:30-8:50 a.m.,Room 137B,Using Time Series Models for Defect Prediction in Software Release Planning,James Tunnell,1,John Anvik,Computer Science,"To produce a high-quality software release, sufficient time should be allowed for testing and fixing defects. Otherwise, there is a risk of slip in the development schedule and/or software quality. A time series model is used to predict the number of bugs created during development. The model depends on the previous numbers of bugs created. The model also depends, in an exogenous manner, on the previous numbers of new features resolved and improvements resolved. This model structure would allow hypothetical release plans to be compared by assessing their predicted impact on testing and defect-fixing time. The VARX time series model was selected as a reasonable approach. The accuracy of the model appeared low for a single dataset, but the error was found to be normally distributed."
Feb. 24 08:30-8:50 a.m.,Room 137B,Searching for Maximal Holes in Databases,Joseph Lemley,1,Razvan Andonie,Computer Science,"The problem of finding maximal empty rectangles in a set of points in 2D and 3D space has been well studied, and efficient algorithms exist to identify maximal rectangles in 2D space. Unfortunately, such efficiency is lacking in higher dimensions where the problem has been shown to be NP complete when the dimensions are included in the input. We compare existing methods and suggest a novel technique to discover interesting maximal empty hyper-rectangles in cases where dimensionality and input size would otherwise make analysis impractical. Applications include big data analysis, recommender systems, automatic knowledge discovery, and query optimization. "
Feb. 24 08:30-8:50 a.m.,Room 201,Leadership before and after Hurricane Katrina,Philip Gohl,2,Joanne Perez,Other,"The Cross Cultural Leadership Program is a great opportunity for selected individuals to see how leadership can differentiate by cultures. Going to New Orleans, we had the privilege of talking with guest speakers who gave us an opportunity to understand the leadership of the city before and after Hurricane Katrina. Being able to compare the leadership styles of the guest speakers helped us as a cohort, understand the wide range of leadership qualities, as each speaker gave us a different perspective on their style of leading."
Feb. 24 08:30-8:50 a.m.,Room 201,Why Are Visitor Information Centers Important for Rural Tourism,Madalyn Freeman,2,Elizabeth Kerns,Communication,"This research study was undertaken by the Central Communication Agency, a student-run strategic communication firm at Central Washington University.  The group was comprised of four undergraduate seniors working in conjunction with the Kittitas County Chamber of Commerce Tourism Bureau.  Our goal was to find out why visitor information centers are important for rural tourism.  The group decided to move forward with a regional study on this topic and surveyed other rural Visitor Information Centers and Tourism Bureaus in Colorado, Idaho, Northern California, Oregon, and Washington State.  The students in the Central Communication Agency aggregated results and compared findings about trends and developments in the rural tourism industry. 

  

"
Feb. 24 08:30-8:50 a.m.,Room 201,Your Home Matters ,Madalyn Freeman,2,Elizabeth Kerns,Communication,"The Public Relations Student Society of America hosts a yearly national public relations campaign called the Bateman Competition.  This year, over 120 teams across the nation organized and implemented a public relations campaign for Home Matters, a national movement focusing on quality, affordable housing.  The goal of the Your Home Matters campaign was to recognize the need and provision of quality, affordable housing in Kittitas County and unify local businesses to increase awareness of this local, regional, and national movement.  To fulfill this goal, our team of 5 students conducted research and held the Your Home Matters Affordable Housing Fair 2015 in our community to raise awareness on the topic of local, quality, affordable housing."
Feb. 24 08:30-8:50 a.m.,Room 271,Show Me The Money,Austin Neff,3,Michael Goerger,Philosophy & Religious Studies,"There are numerous ethical issues within the current structure of intercollegiate athletics. At present, one of the most hotly debated issues is the question of whether or not, in addition to their athletic scholarships, college athletes should receive financial compensation for playing in nationally televised games and having their likeness used to sell merchandise and concessions. This research investigates the issue from a philosophical perspective using an application of contractarian morality, an advanced ethical theory. Contractarianism analyzes ethical situations by viewing morality in terms of fairness of and agreeableness upon social contracts, such as the one between the NCAA and it’s athletes, to and from all parties involved. This research focuses on case studies, scholarly editorial pieces, and the disaggregation of primary source data. I will argue that college athletes who appear in nationally televised games are being undercompensated for the value they bring to their respective universities. This value is comprised mainly of monetary contributions from the sale of television packages and team merchandise but also includes benefits that are hard to quantify, such as increases in university profile. The popular argument defending the current NCAA system is that student-athletes are fairly compensated through academic scholarships and other preferential treatment. I will refute this claim. It is imperative that we address this issue from an ethical perspective so we can help the NCAA to establish future policies that preserve the sanctity of higher education and are grounded in the principles of justice and equality. "
Feb. 24 08:30-8:50 a.m.,Room 271,An Argument Against Descartes's Vivid and Clear Ideas,Alysia  Rogers,3,Gary Bartlett,Philosophy & Religious Studies,"In his Third Meditation, René Descartes claims that he can know that God exists because he has a vivid and clear idea of God's existence, and that that idea is truer than any other idea he has in his mind. I will argue three different points that show that Descartes has not established a firm basis by which he can claim proof of God's existence. First, I will show how uncertain the reliability of Descartes’s understanding is in general, and also in comparison to the understanding of other competent philosophers. Second, I will argue that dreams and hallucinations could serve to bring doubt to Descartes’s vivid and clear ideas, but that preconceived notions are far more likely to have occurred with Descartes, leaving him unable to fully relinquish the beliefs of his upbringing and culture. Lastly, I will argue that Descartes seems to be operating on a scale of degrees of certainty, that this is problematic, and that it actually only makes his argument about clear and vivid ideas uncertain. Based on these three main arguments, I will show that since his beliefs about vivid and clear ideas are unreliable, doubtful, and uncertain, then these beliefs are not a solid base on which to prove any other beliefs, such as the existence of God. "
Feb. 24 08:30-8:50 a.m.,Room 271,Capabilities for Central American Minors ,Sergio  Madrid ,3,Michael  Goerger ,Philosophy & Religious Studies,"Based on Martha Nussbaum's Capabilities Approach, I argue that unaccompanied minors from El Salvador, Guatemala, and Honduras should be granted asylum in the United States. Nussbaum's approach answers a basic question: what is this person able to do and to be? A just society should create freedom and opportunities by securing capabilities for each and every individual to function at a threshold level in every way required for decent human existence. Her approach is focused on protecting areas of freedom so vital that their removal would make life unworthy of human dignity. An individual should be provided these fundamental freedoms and opportunities created by a combination of personal abilities, political, social, and economic environments. Thus, because of political corruption, increased violence, and ongoing failure to meet basic capabilities in El Salvador, Guatemala, and Honduras, Central American children fleeing to the United States should be granted political asylum."
Feb. 24 08:30-8:50 a.m.,Room 271,An Overreaching State: How Capital Punishment Goes Beyond the Role of Government,Riley Schmit,3,Matthew Altman,Philosophy & Religious Studies,"This will be a presentation of my senior thesis in philosophy. It is a moral argument against retributivist justifications for capital punishment, which focus solely on desert (i.e., what the criminal offender deserves). I argue that although retributivism is not necessarily wrong, it cannot justify the government sentencing criminal offenders to death. It may be that certain individuals deserve to die, but this in itself is not a justification for capital punishment. I show this by first discussing the history, implications, and applications of retributivism so that the position itself is well understood before continuing. I then argue that the role of the state, regarding criminal justice, is to protect its citizens from harm and reasonable threats of harm, which can be achieved by sentencing an offender to life in prison. I show how prison is punishment in itself, and why it is the case that life in prison is sufficient punishment in lieu of the death penalty. Thus I conclude that the death penalty cannot be justified with retributivist principles because it is beyond any obligation of the government."
