Time,Room,Title of Presentation/Performance,Presenter Name,Department/Program,Abstract
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,Assessing Earthquake Preparedness in Southern Ellensburg,Brian Lawrence,Geological Sciences,"Because Ellensburg is situated in an area of moderate seismic risk, it is critical that the community is made aware of risks they face, and utilize existing mitigation plans and strategies to best prepare themselves for a seismic event. As a class, we studied the earthquake hazard in Ellensburg, and assessed the degree to which the community and economy is vulnerable to a seismic hazard. We conducted a city-wide survey to ask the community about their earthquake knowledge and preparedness. Our sub-group was assigned to research the southern region of Ellensburg, covering between Water Street and Chestnut Street, and Capitol Avenue and East Umptanum Road. Using existing resources from the Kittitas County Planning Office, we extrapolated the county?s susceptibility data to our southern region of Ellensburg. We studied the liquefaction susceptibility of the soil in our region. Using this data, residential and commercial facilities were examined using Federal Emergency Management Agency rapid visual screening protocol. We found that residential buildings tended to score higher than commercial buildings. In addition, critical facilities in our region?such as Lincoln Elementary and Kittitas Valley Community Hospital?were asked about their existing earthquake plans. Based on any existing mitigation strategies these facilities had in place, as well as our own findings, we made recommendations on how to better prepare these facilities for a seismic event. These included expanding education efforts, as well as providing emergency kits to stakeholders. "
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,Analysis of Earthquake Hazards in Eastern Ellensburg,Eamonn Clarke,Geological Sciences,"This research served to gather and analyze data relating to the seismic hazards in Eastern Ellensburg, the area from N. Chestnut Street to the city limits, and University Way to the Kittitas Highway, and develop strategies to mitigate those hazards. The Federal Emergency Management Agency?s Rapid Visual Screening process was used to gather data on buildings in the area such as the fairground structures, high school, and faith centers. Research of existing literature was conducted to determine the underlying risks, including liquefaction, and a survey of residents was conducted assessing risk perception and emergency preparedness. The Ellensburg Annex to the Kittitas County Hazard Mitigation Plan was analyzed and suggestions were made for additions at the next revision. Research showed Eastern Ellensburg to have varying liquefaction risk, though most of the buildings in the area were wood frame houses. These homes are not easily affected by liquefaction and are at relatively low risk for damage in an earthquake. Specific mitigation strategies included determining community gathering areas, such as Ellensburg High School, and sending information about emergency preparedness, including making emergency kits and reinforcing weak parts of houses (eg. chimneys), to residents through utility bills. High-priority targets for further mitigation strategy development were identified, including the trailer park between Alder and University and Bloom Pavilion in the Fairgrounds."
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,"Relocating Seismicity in the 2014?2015 Sheldon, Nevada Earthquake Swarm",Rebeca Becerra,Geological Sciences,"Since mid-July 2014, an earthquake swarm has been occurring in northwestern Nevada approximately 250 km north of Reno.  Seismicity rates in the swarm slowly increased over a four month span culminating in a number of mid-magnitude 4 earthquakes in early November 2014.   Since that time, seismicity rates have slowed and as of early April the swarm now totals over 4500 earthquakes.  The earthquake swarm is occurring in a region of the western Basin and Range that has seen very little historical seismicity, but is dominated by extensional features typical of the region.  Focal mechanisms for the largest earthquakes show normal faulting but hypocenters appear to be poorly aligned with local tectonic structures.  In order to assign these earthquakes to a regional structure, we relocated a total of 155 earthquakes using a joint hypocentral determination method.  For the six largest earthquakes, we manually picked absolute P and S wave arrival times.  In addition, we performed waveform cross-correlation on 153 earthquakes to get differential travel times.  We then performed a joint hypocentral determination using both of our absolute and relative travel time catalogs.  We find that the earthquake swarm is rupturing the normal faults bounding the western edge of the Sheldon Plateau.  In addition, we find many highly correlated waveforms from earthquakes spanning the duration of the earthquake swarm, suggesting that the same regions of the fault are rupturing repeatedly."
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,Mitigation Strategies for CWU and Surrounding Residential Areas,Amanda Huffstetler,Geological Sciences,"This project stemmed from the Douglas Honors Class Hazards, Risks, and Resilience in the Pacific Northwest that specifically looked at earthquakes and their impact on communities in that area. Ellensburg?s susceptibility and preparedness in the event of an earthquake was analyzed through visual data and survey analysis. To accomplish this, this group assessed the Central Washington University campus, and the areas north of University Way using Rapid Visual Screening (RVS) guidelines set out by the Federal Emergency Management Agency (FEMA). Since the buildings surrounding campus are mostly stable, wood frame structures, CWU is the main concern of this poster. There is concern with older parts of campus because the brick structures have higher earthquake susceptibility. A web-based survey to learn about the community?s knowledge, experience, and preparedness for an earthquake was also created. 124 responses over a two-week period were recorded. This poster compared the total number of survey responses that fell within the area and whether or not they had an emergency kit prepared. The survey received a large proportion of responses from the 18-24 year old age range that implies oversampling of the student population. Mitigation strategies were proposed to develop community preparedness after the results were collected. We propose that there is an increase in student, faculty, and staff awareness of the current CWU Disaster Plan, and instructions on how to prepare an emergency kit for on campus housing. We also suggest annual flyers for off campus housing in this area about earthquake hazards. "
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,Downtown Ellensburg and Surrounding Residential Areas,Anita Richards,Geological Sciences,"The purpose of our project was to add recommendations to the existing Federal Emergency Management Agency approved Kittitas County Hazard Mitigation Plan. This included hosting a survey for community members to participate in, as well as performing rapid visual screening around the city of Ellensburg, which involved viewing the structural stability of all homes and businesses from the street. Our group was assigned the greater downtown area of Ellensburg. After screening our area, we found that light-wood-frame residences would fare better than the unreinforced masonry buildings found in the commercial industry. In addition, we took into account the liquefaction zone in our area and how it places certain structures in potentially dangerous situations if a major seismic hazard were to occur. Most of our area was unaffected by the liquefaction zone, but we felt that it was important to educate Ellensburg residents about how to prepare for an earthquake on an individual level. Through our survey results, we found that the majority of people are not very concerned about earthquakes in Ellensburg. Taking this into account, we developed our poster to educate the public about potential hazards of living in houses with unreinforced chimneys, or the dangers posed by operating businesses in unreinforced masonry buildings. We recommended that people prepare emergency kits, develop a personal mitigation plan, and seismically retrofit their homes."
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,Public Knowledge of Earthquake Hazard and Perceptions of Risk and Preparedness in Ellensburg,David Hershfeldt,Sociology,"The possibility of earthquakes in the Kittitas Valley is a reality; however, how members of this community perceive this hazard, how much they know about earthquakes in general, and how prepared they feel in the event of a disaster is unclear. The Douglas Honors College course, ?Hazards, Risks, and Resilience in the Pacific Northwest? set out to find answers. The class conducted a community survey to address these concerns. The purpose was to gather information regarding the publics? knowledge, perception of risks and vulnerabilities, and the level of preparedness in the event of an earthquake in Ellensburg and Kittitas County. The online survey, available from 1/30-2/15, was conducted by asking citizens to participate and was shared via word of mouth, Daily Record newspaper, KLXE radio station, and a variety of social media sources. 124 responses were recorded in total. Earthquakes are not seen as highly likely as wildfires and floods and yet the feedback from the survey suggests that people would still experience some amount of vulnerability if an earthquake were to occur. Although many people have experienced an earthquake and believe them to be possible, only one third of the respondents knew the best way to respond to an earthquake, less than one half had emergency kits in their homes, and less than one third had an evacuation plan. The class created some suggested mitigation strategies that include creating opportunities for citizens of all ages to participate in earthquake drills, and encourage preparation of evacuation plans and emergency kits. "
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,"Analysis of Depositional Processes After the Columbia River Basalt Flows, Early Ellensburg Formation, Bettas Road, Ellensburg WA",Kassia Bennett,Geological Sciences,"The Columbia River Basalt (CRB) flows ~15 million years ago flattened the topography of central Washington, and altered the environments of existing river systems. The goal of our project is to understand how the local fluvial system responded to the CRB flows and eventually evolved into the environment we live in today by analyzing the laterally extensive outcrop at Bettas Road, which is an excellent example of sediment deposition immediately after a flood basalt event. Via hand sample and thin section analysis as well as published CRB flow maps, we confirmed that the base layer of the outcrop was of the Grande Ronde CRB flow, which indicates that the sediments deposited directly atop the basalt are the earliest of the Ellensburg Formation. We hypothesized that the first sediments deposited after the basalt would be fine-grained due to the unchannelized nature of the flattened topography, and that volcanic debris flows would dominantly be fine-grained and hyper-concentrated. We further predicted that as rivers developed channels, the grain size would become larger and the volcanic debris flows would be dominantly coarser-grained lahars. To test these hypotheses we mapped the 930-meter long outcrop, identified sedimentary facies, and performed grain-size analyses using a point-count method as well as sieves and a Mastersizer. Our results indicate that the grain size of both the fluvial and volcanic sediments generally coarsened upwards, as the fluvial system was not able to transport coarse-grained sediment immediately after the CRB flows but gradually evolved to transport larger material via mature channels. "
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,"Fluid Release from Eclogite and its Implications, North Qaidam Ultrahigh-Pressure Terrane, Western China",Jake Meyer,Geological Sciences,"Ultrahigh-pressure (UHP, depths Ú100 km) eclogite samples from the North Qaidam terrane, Western China preserve evidence of significant H<sub>2</sub>O release along the pressure-temperature (P-T) path. Sample D126A (garnet + omphacite + zoisite + quartz + phengite) contains 500-600 Êm garnet porphyroblasts, and 2-4 mm zoisite crystals. D126A garnet displays strong compositional zoning with decreasing Ca from core (Alm<sub>43</sub>Prp<sub>25</sub>Grs<sub>32</sub>) to rim (Alm<sub>45</sub>Prp<sub>28</sub>Grs<sub>27</sub>). Thermodynamic models of sample D126A determine a P-T path from the beginning of garnet core growth at ~368 ¯C and ~16 kbar to peak P-T conditions at ~675 ¯C and ~28.5 kbar. The predicted peak P-T conditions are consistent with published UHP conditions and are recorded in potential coesite pseudomorphs (UHP indicator mineral). These pseudomorphs are euhedral, tabular quartz inclusions found between the core and rim zones of garnet porphyroblasts in D126A. The whole rock H<sub>2</sub>O wt.% concentration in D126A decreases along the prograde P-T path, 5.17 to 0.50 wt.% H<sub>2</sub>O. The difference in H<sub>2</sub>O wt.% indicates that ~4.83 wt.% H<sub>2</sub>O would be released during prograde metamorphism. Based on the D126A thermodynamic model, H<sub>2</sub>O is released by the breakdown of hydrous minerals such as amphibole and lawsonite. Lawsonite breakdown and replacement is recorded as polycrystalline epidote inclusions within garnet porphyroblasts (present in another sample). These results quantify how much and where along a P-T path fluids are released from a subducting slab. These fluids are important because they trigger earthquakes and cause the mantle melting which feeds active volcanoes."
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,"Pliocene ? Quaternary extension across the Volcanic Tableland and Black Mountain area, eastern California Shear Zone ",Kevin DeLano,Geological Sciences,"The San Andreas fault and the Walker Lane Belt (WLB) together form the boundary between the Pacific and North American tectonic plates. A fundamental question in geology is how do faults in the WLB accommodate strike-slip motion between the Pacific and North American tectonic plates over space and time? To document the evolution of faults at a tectonic plate boundary, geologists compare present-day fault slip rates (geodetic studies) with geologic measurements of long-term slip rates (past ~0.1-5.0 million years). At latitude 37.5¯N across the WLB, long-term slip rates sum to ~33% of the present-day slip rate. Nagorsen-Rinke et al. (2013) proposed that undocumented long-term fault slip explains part of this discrepancy. To test this model, I conducted new field geologic and LiDAR mapping, fault studies, and geochronology (determine the age of a rock) to calculate long-term fault slip rates across two areas: the Black Mountain and the Volcanic Tableland regions, eastern California. To calculate fault slip rates, I divide offset, a measure of the magnitude of displacement across faults, by the age of the displaced rock. In the Black Mountain area, fault slip rates are Ú0.2 mm/yr since 3.5 million years (m. y.). In that time, faulting has horizontally extended the Earth?s crust by ~15%. In the Volcanic Tableland area, the fault slip rate is 0.1-0.2 mm/yr since 0.7 m.y. Since 0.7 m.y., faulting has horizontally extended the Earth?s crust ~0.8-1.6%. The style of faulting matches our prediction, but our preliminary fault slip rate estimates are slightly lower than hypothesized. "
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,"8,000 Years of Sedimentation and Arroyo Formation, Hanson Creek, Yakima Training Center, Washington",Levi  Windingstad,Geological Sciences,"The causes and timing of cycles of sedimentation in the Hanson Creek drainage in central Washington provide insight into changes in channel morphology and paleoenvironment within the region over the last 8000 years. Using LiDAR imagery and field surveys, recent processes such as degree of modern channel incision, accumulation of valley floor sediment, channel morphology and gradient were evaluated. The spatial distribution of these channel characteristics was assessed in relation to proximal land forms such as spring mounds, colluvial deposits and basalt outcrops. Sixteen stratigraphic profiles in the arroyo walls were used to delineate and correlate past depositional episodes based on sediment characteristics. Basal ages of the earliest documented depositional period were constrained using geochemical analysis of tephra beds. Intermediate dates were obtained from 14C analysis of charcoal.  Stratigraphic evidence suggests multiple transitions from an aggrading braided system to an expansive, fine grained, alluvial step-pool sequence that aggraded a minimum of 3.5-m throughout the last 8000 years. Low gradient, fine grained, organic-rich, sediment suggests prolonged periods of saturation at three locations throughout the incised reach; adjacent to evidence of groundwater springs. The intervening reaches exhibit comparatively high gradients for unconsolidated alluvium. A single and unprecedented, 9-m deep incision of a 1.8-km reach occurred around AD 1900. The timing and physical environmental conditions associated with Holocene sedimentation in the Hanson Creek watershed will supplement the minimal data available on arroyo formation in the northwestern U.S., and allow a comparison with the timing of archaeological occupation sites adjacent to Hanson Creek."
